Date,Open,High,Low,Close,Adj Close,Volume
2016-11-24,149.529999,152.250000,149.350006,151.110001,151.110001,26216005
2016-11-25,150.940002,151.600006,149.500000,151.309998,151.309998,17904148
2016-11-28,151.179993,151.479996,148.389999,148.940002,148.940002,24402370
2016-11-29,148.830002,149.490005,147.339996,147.750000,147.750000,21155780
2016-11-30,148.000000,151.119995,147.600006,148.800003,148.800003,44343200
2016-12-01,149.539993,153.699997,149.539993,152.809998,152.809998,57554590
2016-12-02,152.809998,153.639999,151.800003,152.350006,152.350006,27081770
2016-12-05,152.169998,153.990005,152.089996,153.779999,153.779999,35074560
2016-12-06,153.970001,154.550003,151.270004,151.500000,151.500000,35498633
2016-12-07,151.559998,152.610001,150.919998,151.949997,151.949997,23411515
2016-12-08,152.490005,153.699997,151.889999,153.050003,153.050003,31381701
2016-12-09,153.500000,153.830002,152.179993,152.990005,152.990005,26793110
2016-12-12,154.149994,159.820007,154.029999,158.630005,158.630005,83797992
2016-12-13,158.350006,159.199997,157.720001,158.949997,158.949997,43179507
2016-12-14,159.009995,160.619995,155.300003,157.199997,157.199997,45524982
2016-12-15,155.770004,158.300003,155.770004,158.250000,158.250000,52385810
2016-12-16,158.479996,158.880005,156.199997,156.199997,156.199997,31710655
2016-12-19,157.179993,157.750000,154.600006,154.600006,154.600006,17558770
2016-12-20,154.509995,155.949997,153.759995,155.300003,155.300003,28013211
2016-12-21,155.690002,156.729996,153.009995,153.059998,153.059998,22599158
2016-12-22,153.490005,153.490005,149.720001,150.270004,150.270004,29738560
2016-12-23,150.279999,151.190002,147.220001,149.050003,149.050003,24977801
2016-12-26,149.000000,149.860001,148.800003,148.949997,148.949997,7017215
2016-12-27,149.050003,151.029999,149.050003,150.380005,150.380005,9643135
2016-12-28,150.740005,152.600006,149.600006,151.000000,151.000000,17025610
2016-12-29,150.740005,153.289993,149.899994,152.619995,152.619995,14812996
2016-12-30,153.000000,154.550003,152.600006,154.550003,154.550003,15714690
2017-01-03,154.460007,158.199997,154.119995,157.699997,157.699997,24763390
2017-01-04,156.839996,157.440002,155.759995,157.440002,157.440002,15504110
2017-01-05,157.440002,158.699997,153.169998,154.000000,154.000000,25449580
2017-01-06,154.149994,154.470001,152.050003,154.100006,154.100006,12310510
2017-01-09,154.199997,155.500000,153.300003,154.399994,154.399994,12955900
2017-01-10,154.009995,158.020004,154.000000,157.970001,157.970001,26146770
2017-01-11,157.500000,158.500000,155.809998,157.009995,157.009995,20658280
2017-01-12,158.479996,158.479996,155.529999,157.250000,157.250000,24140261
2017-01-13,157.479996,158.300003,155.770004,157.949997,157.949997,23323001
2017-01-16,157.990005,158.199997,155.580002,155.809998,155.809998,16952610
2017-01-17,155.600006,156.500000,153.009995,153.649994,153.649994,25918416
2017-01-18,154.199997,154.589996,152.649994,152.860001,152.860001,16216270
2017-01-19,153.300003,153.559998,148.229996,150.850006,150.850006,41963880
2017-01-20,150.850006,151.199997,147.699997,149.699997,149.699997,33241980
2017-01-23,149.899994,149.899994,147.100006,148.100006,148.100006,22491250
2017-01-24,148.250000,150.500000,148.250000,150.149994,150.149994,22354400
2017-01-25,150.500000,150.869995,147.149994,147.649994,147.649994,30645880
2017-01-26,147.740005,151.279999,147.160004,150.490005,150.490005,26471141
2017-01-27,150.399994,154.529999,149.910004,154.089996,154.089996,37170230
2017-01-30,153.800003,153.899994,150.350006,150.800003,150.800003,21533750
2017-01-31,150.539993,151.419998,149.149994,149.800003,149.800003,28294046
2017-02-01,150.000000,150.380005,148.320007,149.649994,149.649994,20916695
2017-02-02,149.800003,150.449997,148.149994,148.800003,148.800003,20525750
2017-02-03,148.850006,150.199997,148.369995,149.350006,149.350006,20817240
2017-02-06,149.399994,149.699997,147.630005,148.500000,148.500000,22092275
2017-02-07,148.500000,148.699997,147.600006,148.699997,148.699997,13853050
2017-02-08,148.119995,148.220001,143.899994,145.199997,145.199997,64448035
2017-02-09,145.350006,145.600006,141.570007,142.110001,142.110001,52192910
2017-02-10,142.869995,143.139999,140.500000,140.500000,140.500000,41132560
2017-02-13,141.100006,142.669998,140.020004,141.199997,141.199997,25982140
2017-02-14,141.250000,141.490005,139.850006,140.619995,140.619995,20232140
2017-02-15,140.490005,141.500000,138.919998,139.720001,139.720001,36931591
2017-02-16,139.919998,140.300003,138.009995,139.160004,139.160004,33195280
2017-02-17,139.270004,139.419998,137.229996,138.119995,138.119995,32116080
2017-02-20,138.570007,140.130005,137.399994,138.500000,138.500000,24730075
2017-02-21,138.600006,139.600006,138.000000,138.350006,138.350006,21706815
2017-02-22,138.660004,138.779999,136.050003,136.679993,136.679993,27406281
2017-02-24,136.509995,137.199997,135.600006,136.750000,136.750000,17166510
2017-02-27,137.169998,137.479996,135.070007,135.070007,135.070007,24036161
2017-02-28,135.699997,135.889999,132.000000,134.000000,134.000000,98611730
2017-03-01,133.500000,134.990005,133.000000,133.850006,133.850006,38133650
2017-03-02,134.050003,135.100006,131.300003,131.300003,131.300003,42664910
2017-03-03,131.149994,134.899994,130.639999,134.800003,134.800003,39971050
2017-03-06,134.839996,135.970001,134.320007,134.600006,134.600006,28047112
2017-03-07,135.800003,135.800003,131.899994,132.889999,132.889999,28976030
2017-03-09,132.050003,133.259995,128.809998,129.000000,129.000000,53141460
2017-03-10,129.199997,130.880005,127.800003,128.779999,128.779999,33659535
2017-03-13,128.509995,130.550003,127.820000,129.929993,129.929993,34301020
2017-03-14,130.000000,131.339996,128.320007,128.800003,128.800003,39444413
2017-03-15,129.220001,129.690002,127.199997,127.599998,127.599998,31019470
2017-03-16,128.500000,129.300003,127.610001,128.050003,128.050003,51357920
2017-03-17,128.190002,130.419998,128.009995,128.940002,128.940002,42883565
2017-03-20,129.300003,130.130005,128.020004,128.789993,128.789993,30333360
2017-03-21,129.020004,130.419998,128.509995,129.300003,129.300003,37868760
2017-03-22,129.050003,131.649994,128.899994,131.649994,131.649994,36244024
2017-03-23,131.800003,132.940002,130.220001,130.990005,130.990005,39623680
2017-03-24,130.789993,131.479996,129.720001,130.050003,130.050003,20548890
2017-03-27,129.410004,129.470001,127.410004,128.800003,128.800003,28952910
2017-03-28,129.000000,129.600006,128.100006,129.199997,129.199997,23674640
2017-03-29,129.119995,129.779999,128.550003,128.809998,128.809998,15809600
2017-03-30,129.149994,129.990005,128.199997,128.490005,128.490005,28700450
2017-03-31,128.490005,128.639999,126.800003,127.900002,127.900002,29060317
2017-04-03,128.089996,128.500000,127.019997,127.209999,127.209999,19870233
2017-04-04,127.500000,128.899994,126.800003,128.809998,128.809998,26349076
2017-04-05,128.850006,131.250000,128.820007,130.690002,130.690002,34545901
2017-04-06,130.179993,130.929993,129.550003,130.500000,130.500000,23606632
2017-04-07,129.500000,129.889999,127.839996,128.720001,128.720001,27579930
2017-04-10,127.879997,128.100006,125.809998,126.160004,126.160004,29853981
2017-04-11,125.980003,127.690002,125.500000,126.000000,126.000000,32664380
2017-04-12,127.050003,127.449997,124.620003,125.050003,125.050003,28979480
2017-04-13,125.949997,125.949997,123.500000,124.540001,124.540001,42266230
2017-04-14,124.290001,124.370003,122.629997,122.849998,122.849998,14732590
2017-04-17,123.000000,124.029999,122.250000,123.699997,123.699997,21674611
2017-04-18,124.099998,124.389999,122.029999,122.220001,122.220001,22108500
2017-04-19,122.739998,123.150002,121.250000,121.550003,121.550003,28942230
2017-04-20,121.300003,121.989998,120.550003,121.989998,121.989998,32985477
2017-04-21,122.129997,123.639999,122.129997,123.000000,123.000000,29514128
2017-04-24,123.559998,128.399994,123.379997,128.000000,128.000000,66796950
2017-04-25,128.500000,131.750000,127.980003,130.199997,130.199997,57537080
2017-04-26,130.199997,134.000000,130.009995,133.429993,133.429993,57713065
2017-04-27,133.350006,136.600006,132.220001,133.410004,133.410004,99565982
2017-04-28,136.000000,137.770004,135.050003,136.750000,136.750000,52898815
2017-05-02,137.289993,138.429993,136.279999,136.520004,136.520004,33849860
2017-05-03,136.460007,138.089996,135.100006,135.809998,135.809998,33150950
2017-05-04,135.800003,136.410004,134.300003,134.929993,134.929993,31968840
2017-05-05,133.679993,134.940002,132.910004,134.410004,134.410004,26287192
2017-05-10,134.979996,135.429993,133.509995,134.190002,134.190002,23775460
2017-05-11,134.559998,134.750000,130.369995,131.100006,131.100006,36626810
2017-05-12,131.410004,132.500000,130.199997,132.500000,132.500000,23895370
2017-05-15,132.789993,133.919998,129.279999,131.500000,131.500000,46409680
2017-05-16,131.410004,133.070007,130.270004,131.130005,131.130005,22535601
2017-05-17,130.979996,132.179993,130.600006,132.070007,132.070007,17640941
2017-05-18,131.369995,132.839996,125.849998,126.900002,126.900002,80144100
2017-05-19,127.320000,127.400002,124.000000,124.190002,124.190002,57694887
2017-05-22,124.470001,124.489998,122.169998,122.519997,122.519997,39237651
2017-05-23,122.599998,123.709999,121.959999,123.230003,123.230003,34384062
2017-05-24,123.360001,123.669998,120.919998,122.000000,122.000000,32263370
2017-05-25,122.389999,122.470001,120.750000,121.610001,121.610001,24572020
2017-05-26,121.480003,122.199997,120.540001,122.199997,122.199997,22658579
2017-05-29,122.400002,123.830002,122.110001,123.110001,123.110001,24492100
2017-05-30,122.720001,122.910004,121.790001,122.099998,122.099998,16160700
2017-05-31,122.209999,122.779999,119.400002,120.279999,120.279999,55411891
2017-06-01,120.290001,120.980003,117.239998,118.000000,118.000000,48654370
2017-06-02,117.860001,119.690002,116.550003,119.690002,119.690002,38326838
2017-06-05,119.570000,120.989998,118.550003,119.000000,119.000000,24798981
2017-06-06,119.000000,120.239998,118.660004,119.050003,119.050003,18204970
2017-06-07,119.339996,121.440002,118.849998,118.919998,118.919998,27874095
